# ------------- -----------
WAVELENGTH FLUX
2980.0 1.6266
2980.1 1.6266
2980.2 1.6266
2980.2999999999997 1.6266
2980.3999999999996 1.6266
2980.4999999999995 1.6266
2980.5999999999995 1.6266
2980.6999999999994 1.6266
2980.7999999999993 1.6266
2980.899999999999 1.6266
2980.999999999999 1.6266
2981.099999999999 1.6266
2981.199999999999 1.6266
2981.299999999999 1.6266
2981.3999999999987 1.6266
2981.4999999999986 1.6266
2981.5999999999985 1.6266
2981.6999999999985 1.6266
2981.7999999999984 1.6266
2981.8999999999983 1.6266
2981.999999999998 1.6266
2982.099999999998 1.6266
2982.199999999998 1.6266
2982.299999999998 1.6266
2982.399999999998 1.6266
2982.4999999999977 1.6266
2982.5999999999976 1.6266
2982.6999999999975 1.6266
2982.7999999999975 1.6266
2982.8999999999974 1.6266
2982.9999999999973 1.6266
2983.099999999997 1.6266
2983.199999999997 1.6266
2983.299999999997 1.6266
2983.399999999997 1.6266
2983.499999999997 1.6266
2983.5999999999967 1.6266
2983.6999999999966 1.6266
2983.7999999999965 1.6266
2983.8999999999965 1.6266
2983.9999999999964 1.6266
2984.0999999999963 1.6266
2984.199999999996 1.6266
2984.299999999996 1.6266
2984.399999999996 1.6266
2984.499999999996 1.6266
2984.599999999996 1.6266
2984.6999999999957 1.6266
2984.7999999999956 1.6266
2984.8999999999955 1.6266
2984.9999999999955 1.6266
2985.0999999999954 1.6266
2985.1999999999953 1.6266
2985.299999999995 1.6266
2985.399999999995 1.6266
2985.499999999995 1.6266
2985.599999999995 1.6266
2985.699999999995 1.6266
2985.7999999999947 1.6266
2985.8999999999946 1.6266
2985.9999999999945 1.6266
2986.0999999999945 1.6266
2986.1999999999944 1.6266
2986.2999999999943 1.6266
2986.399999999994 1.6266
2986.499999999994 1.6266
2986.599999999994 1.6266
2986.699999999994 1.6266
2986.799999999994 1.6266
2986.8999999999937 1.6266
2986.9999999999936 1.6266
2987.0999999999935 1.6266
2987.1999999999935 1.6266
2987.2999999999934 1.6266
2987.3999999999933 1.6266
2987.499999999993 1.6266
2987.599999999993 1.6266
2987.699999999993 1.6266
2987.799999999993 1.6266
2987.899999999993 1.6266
2987.9999999999927 1.6266
2988.0999999999926 1.6266
2988.1999999999925 1.6266
2988.2999999999925 1.6266
2988.3999999999924 1.6266
2988.4999999999923 1.6266
2988.599999999992 1.6266
2988.699999999992 1.6266
2988.799999999992 1.6266
2988.899999999992 1.6266
2988.999999999992 1.6266
2989.0999999999917 1.6266
2989.1999999999916 1.6266
2989.2999999999915 1.6266
2989.3999999999915 1.6266
