#   WAVELENGTH        FLUX
#------------- -----------
     3528.700      1.3865
     3528.800      1.3864
     3528.900      1.3863
     3529.000      1.3863
     3529.100      1.3862
     3529.200      1.3861
     3529.300      1.3860
     3529.400      1.3859
     3529.500      1.3859
     3529.600      1.3858
     3529.700      1.3857
     3529.800      1.3856
     3529.900      1.3856
     3530.000      1.3855
     3530.100      1.3854
     3530.200      1.3853
     3530.300      1.3852
     3530.400      1.3852
     3530.500      1.3851
     3530.600      1.3850
     3530.700      1.3849
     3530.800      1.3848
     3530.900      1.3848
     3531.000      1.3847
     3531.100      1.3846
     3531.200      1.3845
     3531.300      1.3845
     3531.400      1.3844
     3531.500      1.3843
     3531.600      1.3842
     3531.700      1.3841
     3531.800      1.3841
     3531.900      1.3840
     3532.000      1.3839
     3532.100      1.3838
     3532.200      1.3837
     3532.300      1.3837
     3532.400      1.3836
     3532.500      1.3835
     3532.600      1.3834
     3532.700      1.3834
     3532.800      1.3833
     3532.900      1.3832
     3533.000      1.3831
     3533.100      1.3830
     3533.200      1.3830
     3533.300      1.3829
     3533.400      1.3828
     3533.500      1.3827
     3533.600      1.3827
     3533.700      1.3826
     3533.800      1.3825
     3533.900      1.3824
     3534.000      1.3823
     3534.100      1.3823
     3534.200      1.3822
     3534.300      1.3821
     3534.400      1.3820
     3534.500      1.3819
     3534.600      1.3819
     3534.700      1.3818
     3534.800      1.3817
     3534.900      1.3816
     3535.000      1.3816
     3535.100      1.3815
     3535.200      1.3814
     3535.300      1.3813
     3535.400      1.3812
     3535.500      1.3812
     3535.600      1.3811
     3535.700      1.3810
     3535.800      1.3809
     3535.900      1.3809
     3536.000      1.3808
     3536.100      1.3807
     3536.200      1.3806
     3536.300      1.3805
     3536.400      1.3805
     3536.500      1.3804
     3536.600      1.3803
     3536.700      1.3802
     3536.800      1.3802
     3536.900      1.3801
     3537.000      1.3800
     3537.100      1.3799
     3537.200      1.3798
     3537.300      1.3798
     3537.400      1.3797
     3537.500      1.3796
     3537.600      1.3795
     3537.700      1.3794
     3537.800      1.3794
     3537.900      1.3793
     3538.000      1.3792
     3538.100      1.3791
     3538.200      1.3791
     3538.300      1.3790
     3538.400      1.3789
     3538.500      1.3788
     3538.600      1.3787
     3538.700      1.3787
     3538.800      1.3786
     3538.900      1.3785
     3539.000      1.3784
     3539.100      1.3784
     3539.200      1.3783
     3539.300      1.3782
     3539.400      1.3781
     3539.500      1.3780
     3539.600      1.3780
     3539.700      1.3779
     3539.800      1.3778
     3539.900      1.3777
     3540.000      1.3777
     3540.100      1.3776
     3540.200      1.3775
     3540.300      1.3774
     3540.400      1.3773
     3540.500      1.3773
     3540.600      1.3772
     3540.700      1.3771
     3540.800      1.3770
     3540.900      1.3770
     3541.000      1.3769
     3541.100      1.3768
     3541.200      1.3767
     3541.300      1.3766
     3541.400      1.3766
     3541.500      1.3765
     3541.600      1.3764
     3541.700      1.3763
     3541.800      1.3763
     3541.900      1.3762
     3542.000      1.3761
     3542.100      1.3760
     3542.200      1.3759
     3542.300      1.3759
     3542.400      1.3758
     3542.500      1.3757
     3542.600      1.3756
     3542.700      1.3756
     3542.800      1.3755
     3542.900      1.3754
     3543.000      1.3753
     3543.100      1.3752
     3543.200      1.3752
     3543.300      1.3751
     3543.400      1.3750
     3543.500      1.3749
     3543.600      1.3749
     3543.700      1.3748
     3543.800      1.3747
     3543.900      1.3746
     3544.000      1.3745
     3544.100      1.3745
     3544.200      1.3744
     3544.300      1.3743
     3544.400      1.3742
     3544.500      1.3742
     3544.600      1.3741
     3544.700      1.3740
     3544.800      1.3739
     3544.900      1.3739
     3545.000      1.3738
     3545.100      1.3737
     3545.200      1.3736
     3545.300      1.3735
     3545.400      1.3735
     3545.500      1.3734
     3545.600      1.3733
     3545.700      1.3732
     3545.800      1.3732
     3545.900      1.3731
     3546.000      1.3730
     3546.100      1.3729
     3546.200      1.3728
     3546.300      1.3728
     3546.400      1.3727
     3546.500      1.3726
     3546.600      1.3725
     3546.700      1.3725
     3546.800      1.3724
     3546.900      1.3723
     3547.000      1.3722
     3547.100      1.3721
     3547.200      1.3721
     3547.300      1.3720
     3547.400      1.3719
     3547.500      1.3718
     3547.600      1.3718
     3547.700      1.3717
     3547.800      1.3716
     3547.900      1.3715
     3548.000      1.3715
     3548.100      1.3714
     3548.200      1.3713
     3548.300      1.3712
     3548.400      1.3711
     3548.500      1.3711
     3548.600      1.3710
     3548.700      1.3709
     3548.800      1.3708
     3548.900      1.3708
     3549.000      1.3707
     3549.100      1.3706
     3549.200      1.3705
     3549.300      1.3704
     3549.400      1.3704
     3549.500      1.3703
     3549.600      1.3702
     3549.700      1.3701
     3549.800      1.3701
     3549.900      1.3700
     3550.000      1.3699
     3550.100      1.3698
     3550.200      1.3698
     3550.300      1.3697
     3550.400      1.3696
     3550.500      1.3695
     3550.600      1.3694
     3550.700      1.3694
     3550.800      1.3693
     3550.900      1.3692
     3551.000      1.3691
     3551.100      1.3691
     3551.200      1.3690
     3551.300      1.3689
     3551.400      1.3688
     3551.500      1.3687
     3551.600      1.3687
     3551.700      1.3686
     3551.800      1.3685
     3551.900      1.3684
     3552.000      1.3684
     3552.100      1.3683
     3552.200      1.3682
     3552.300      1.3681
     3552.400      1.3681
     3552.500      1.3680
     3552.600      1.3679
     3552.700      1.3678
     3552.800      1.3677
     3552.900      1.3677
     3553.000      1.3676
     3553.100      1.3675
     3553.200      1.3674
     3553.300      1.3674
     3553.400      1.3673
     3553.500      1.3672
     3553.600      1.3671
     3553.700      1.3671
     3553.800      1.3670
     3553.900      1.3669
     3554.000      1.3668
     3554.100      1.3667
     3554.200      1.3667
     3554.300      1.3666
     3554.400      1.3665
     3554.500      1.3664
     3554.600      1.3664
     3554.700      1.3663
     3554.800      1.3662
     3554.900      1.3661
     3555.000      1.3661
     3555.100      1.3660
     3555.200      1.3659
     3555.300      1.3658
     3555.400      1.3657
     3555.500      1.3657
     3555.600      1.3656
     3555.700      1.3655
     3555.800      1.3654
     3555.900      1.3654
     3556.000      1.3653
     3556.100      1.3652
     3556.200      1.3651
     3556.300      1.3651
     3556.400      1.3650
     3556.500      1.3649
     3556.600      1.3648
     3556.700      1.3647
     3556.800      1.3647
     3556.900      1.3646
     3557.000      1.3645
     3557.100      1.3644
     3557.200      1.3644
     3557.300      1.3643
     3557.400      1.3642
     3557.500      1.3641
     3557.600      1.3641
     3557.700      1.3640
     3557.800      1.3639
     3557.900      1.3638
     3558.000      1.3638
     3558.100      1.3637
     3558.200      1.3636
     3558.300      1.3635
