# ------------- -------------
WAVELENGTH FLUX WAVE
2980.0 22.03476 ""
2980.1 22.03476 ""
2980.2 22.03476 ""
2980.2999999999997 22.03476 ""
2980.3999999999996 22.03476 ""
2980.4999999999995 22.03476 ""
2980.5999999999995 22.03476 ""
2980.6999999999994 22.03476 ""
2980.7999999999993 22.03476 ""
2980.899999999999 22.03476 ""
2980.999999999999 22.03476 ""
2981.099999999999 22.03476 ""
2981.199999999999 22.03476 ""
2981.299999999999 22.03476 ""
2981.3999999999987 22.03476 ""
2981.4999999999986 22.03476 ""
2981.5999999999985 22.03476 ""
2981.6999999999985 22.03476 ""
2981.7999999999984 22.03476 ""
2981.8999999999983 22.03476 ""
2981.999999999998 22.03476 ""
2982.099999999998 22.03476 ""
2982.199999999998 22.03476 ""
2982.299999999998 22.03476 ""
2982.399999999998 22.03476 ""
2982.4999999999977 22.03476 ""
2982.5999999999976 22.03476 ""
2982.6999999999975 22.03476 ""
2982.7999999999975 22.03476 ""
2982.8999999999974 22.03476 ""
2982.9999999999973 22.03476 ""
2983.099999999997 22.03476 ""
2983.199999999997 22.03476 ""
2983.299999999997 22.03476 ""
2983.399999999997 22.03476 ""
2983.499999999997 22.03476 ""
2983.5999999999967 22.03476 ""
2983.6999999999966 22.03476 ""
2983.7999999999965 22.03476 ""
2983.8999999999965 22.03476 ""
2983.9999999999964 22.03476 ""
2984.0999999999963 22.03476 ""
2984.199999999996 22.03476 ""
2984.299999999996 22.03476 ""
2984.399999999996 22.03476 ""
2984.499999999996 22.03476 ""
2984.599999999996 22.03476 ""
2984.6999999999957 22.03476 ""
2984.7999999999956 22.03476 ""
2984.8999999999955 22.03476 ""
2984.9999999999955 22.03476 ""
2985.0999999999954 22.03476 ""
2985.1999999999953 22.03476 ""
2985.299999999995 22.03476 ""
2985.399999999995 22.03476 ""
2985.499999999995 22.03476 ""
2985.599999999995 22.03476 ""
2985.699999999995 22.03476 ""
2985.7999999999947 22.03476 ""
2985.8999999999946 22.03476 ""
2985.9999999999945 22.03476 ""
2986.0999999999945 22.03476 ""
2986.1999999999944 22.03476 ""
2986.2999999999943 22.03476 ""
2986.399999999994 22.03476 ""
2986.499999999994 22.03476 ""
2986.599999999994 22.03476 ""
2986.699999999994 22.03476 ""
2986.799999999994 22.03476 ""
2986.8999999999937 22.03476 ""
2986.9999999999936 22.03476 ""
2987.0999999999935 22.03476 ""
2987.1999999999935 22.03476 ""
2987.2999999999934 22.03476 ""
2987.3999999999933 22.03476 ""
2987.499999999993 22.03476 ""
2987.599999999993 22.03476 ""
2987.699999999993 22.03476 ""
2987.799999999993 22.03476 ""
2987.899999999993 22.03476 ""
2987.9999999999927 22.03476 ""
2988.0999999999926 22.03476 ""
2988.1999999999925 22.03476 ""
2988.2999999999925 22.03476 ""
2988.3999999999924 22.03476 ""
